domain,title,page,url,file_name,publisher
it,IoTガイドライン等を解釈別表第八で合理的に活用するための解説,15,https://www.eam-rc.jp/pdf/result/IoTguidelineBetsu8kaisetsu_20230619.pdf,IoTguidelineBetsu8kaisetsu_20230619.pdf,一般社団法人日本電気協会
it,政府情報システムにおけるクラウドサービスの利用に係る基本方針,19,https://cio.go.jp/sites/default/files/uploads/documents/cloud_policy_20210910.pdf,cloud_policy_20210910.pdf,内閣官房
it,電気通信サービスの広告表示に関する自主基準及びガイドライン,63,https://www.telesa.or.jp/vc-files/about/Criteria_for_advertise_ver13f2.pdf,Criteria_for_advertise_ver13f2.pdf,一般社団法人テレコムサービス協会
it,情報サービス・ソフトウェア産業における下請適正取引等の推進のためのガイドライン,80,https://www.chusho.meti.go.jp/keiei/torihiki/guideline/06_info-services_soft.pdf,06_info-services_soft.pdf,中小企業庁
it,データセンター業のベンチマーク制度の概要,30,https://www.enecho.meti.go.jp/category/saving_and_new/saving/enterprise/factory/support-tools/data/2022_01benchmark.pdf,2022_01benchmark.pdf,経済産業省 資源エネルギー庁
it,クラウドサービス利用・提供における適切な設定のためのガイドライン,84,https://www.soumu.go.jp/main_content/000843318.pdf,000843318.pdf,総務省
manufacturing,食品製造業者・小売業者間における適正取引推進ガイドライン,44,https://www.maff.go.jp/j/shokusan/kikaku/attach/pdf/tekiseitorihiki-21.pdf,tekiseitorihiki-21.pdf,農林水産省
manufacturing,2030年に向けた 繊維産業の展望,16,https://www.meti.go.jp/shingikai/sankoshin/seizo_sangyo/textile_industry/pdf/20220518_2.pdf,20220518_2.pdf,経済産業省
manufacturing,2024年版 ものづくり白書　概要,37,https://www.meti.go.jp/report/whitepaper/mono/2024/pdf/gaiyo.pdf,gaiyo.pdf,経済産業省
manufacturing,JAS活用マニュアル,32,https://www.maff.go.jp/j/jas/attach/pdf/index-11.pdf,index-11.pdf,農林水産省
manufacturing,ベビーフード自主規格　第Ⅴ版,17,https://www.baby-food.jp/standard/pdf/foodkaku5.pdf,foodkaku5.pdf,日本ベビーフード協議会
manufacturing,令和時代の金型産業ビジョン,52,https://www.jdmia.or.jp/vision/DM_Industry_Vision_3.0.pdf,DM_Industry_Vision_3.0.pdf,一般社団法人日本金型工業会
manufacturing,表示を作成する際に注意すべき10類型,11,https://www.caa.go.jp/policies/policy/food_labeling/food_sanitation/food_additive/assets/food_labeling_cms204_220701_03.pdf,「食品添加物の不使用表示に関するガイドライン」の10類型イラスト.pdf,消費者庁
manufacturing,包装表示に関するマニュアル,20,https://www.tioj.or.jp/activity/pdf/190619_06.pdf,190619_06.pdf,一般社団法人日本たばこ協会
manufacturing,電気用品、ガス用品等製品の IoT 化等による安全確保の在り方に関するガイドライン,19,https://www.meti.go.jp/product_safety/consumer/system/iot_guideline.pdf,iot_guideline.pdf,経済産業省
manufacturing,がん原性試験ガイドライン,35,https://www.pmda.go.jp/files/000251332.pdf,000251332.pdf,独立行政法人医薬品医療機器総合機構
manufacturing,保護制御ガイドライン,21,https://www.mlit.go.jp/common/001182445.pdf,001182445.pdf,国土交通省
manufacturing,自動車リユース部品利用マニュアル（文書版）,48,https://www.env.go.jp/content/000040369.pdf,000040369.pdf,環境省
manufacturing,化粧品基準,11,https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/keshouhin-standard.pdf,keshouhin-standard.pdf,厚生労働省
manufacturing,製造事業者向け 安全衛生管理のポイント,65,https://www.mhlw.go.jp/new-info/kobetu/roudou/gyousei/anzen/dl/110329-1a.pdf,110329-1a.pdf,厚生労働省
retail,通信販売の申込み段階における表示についてのガイドライン,27,https://www.no-trouble.caa.go.jp/pdf/20220601la02_07.pdf,20220601la02_07.pdf,消費者庁
retail,独占禁止法に基づく「大規模小売業者による納入業者との取引における特定の不公正な取引方法」ガイドブック　大規模小売業告示,16,https://www.jftc.go.jp/houdou/panfu_files/daikibopamph.pdf,daikibopamph.pdf,公正取引委員会
retail,酒類販売管理研修モデルテキスト,15,https://www.nta.go.jp/taxes/sake/hambai/moderutekisuto/pdf/r04_04_03.pdf,r04_04_03.pdf,国税庁
retail,医薬品の適正流通(GDP) ガイドライン概要と解説 (1),46,https://www.mhlw.go.jp/content/11120000/000467835.pdf,000467835.pdf,厚生労働省
retail,第3回 新たなコンビニのあり方検討会 資料2-4　調査報告資料（ユーザーアンケート・店舗出口調査）,29,https://www.meti.go.jp/shingikai/mono_info_service/new_cvs/pdf/003_02_04.pdf,003_02_04.pdf,経済産業省
retail,フランチャイズ事業を始めるにあたって,12,https://www.chusho.meti.go.jp/shogyo/shogyo/2021/download/r3fy-FC-all.pdf,r3fy-FC-all.pdf,中小企業庁
retail,２０２１年版 スーパーマーケット白書,16,https://www.super.or.jp/wp/wp-content/uploads/2020/02/hakusho2021-01.pdf,hakusho2021-01.pdf,一般社団法人全国スーパーマーケット協会
retail,セルフメディケーション税制（医療費控除の特例）,22,https://www.nichiyaku.or.jp/assets/uploads/pharmacy-info/210928.pdf,210928.pdf,公益社団法人日本薬剤師会
retail,製造たばこ小売販売業許可等取扱要領,22,https://www.mof.go.jp/policy/tab_salt/tobacco/kouri_toriatsukaiyouryou.pdf,kouri_toriatsukaiyouryou.pdf,財務省
retail,インターネット販売における食品表示の情報提供に関するガイドブック,50,https://www.caa.go.jp/policies/policy/food_labeling/information/guideline/assets/food_labeling_cms202_221202_01.pdf,food_labeling_cms202_221202_01.pdf,消費者庁
retail,商店街実態調査 実態調査報告書（R４年3月） 概要版,28,https://www.chusho.meti.go.jp/shogyo/shogyo/2022/download/220408shoutengai01.pdf,220408shoutengai01.pdf,中小企業庁
retail,食品トレーサビリティ「実践的なマニュアル」各論　小売編,52,https://www.maff.go.jp/j/syouan/seisaku/trace/pdf/manual-kouri.pdf,manual-kouri.pdf,農林水産省
retail,小規模な青果物小売業 HACCPの考え方を取り入れた衛生管理のための手引書,33,https://www.mhlw.go.jp/content/11130500/000604389.pdf,000604389.pdf,厚生労働省
public,神奈川県企業庁における総合評価方式に関する運用ガイドライン〔建設工事編〕（令和6年6月）,47,https://www.pref.kanagawa.jp/documents/5108/r06_06_guideline_itaku.pdf,r06_06_guideline_itaku.pdf,神奈川県庁
public,自治体の行政手続のオンライン化に係る手順書【第2.0版】,44,https://www.soumu.go.jp/main_content/000857916.pdf,000857916.pdf,総務省
public,デフレ完全脱却のための総合経済対策～日本経済の新たなステージにむけて～（令和５年11月2日）施策例（全体版3）,49,https://www5.cao.go.jp/keizai1/keizaitaisaku/2023/20231102_sesaku3.pdf,20231102_sesaku3.pdf,内閣府
public,保健所の活用の仕方,39,https://www.mhlw.go.jp/content/000761091.pdf,000761091.pdf,厚生労働省
public,スタートアップ育成に向けた政府の取組,48,https://www.meti.go.jp/policy/newbusiness/kaisetsushiryou_2024.pdf,kaisetsushiryou_2024.pdf,経済産業省
public,地方公共団体の基幹業務システムの統一・標準化 標準仕様書と適合確認に関する考え方,21,https://www.digital.go.jp/assets/contents/node/basic_page/field_ref_resources/c58162cb-92e5-4a43-9ad5-095b7c45100c/d779571b/20231027_policies_local_governments_outline_02.pdf,20231027_policies_local_governments_outline_02.pdf,デジタル庁
public,ふるさと納税に係る指定制度の運用について,13,https://www.soumu.go.jp/main_content/000956094.pdf,000956094.pdf,総務省
public,インボイス制度の負担軽減措置のよくある質問とその回答（令和５年３⽉ 31 ⽇時点）,15,https://www.mof.go.jp/tax_policy/summary/consumption/qa_futankeigen.pdf,qa_futankeigen.pdf,財務省
public,「臨海副都心まちづくりガイドライン－2022改定－」（令和4年1月）,59,https://www.kouwan.metro.tokyo.lg.jp/jigyo/rinpukuGL_2022.pdf,rinpukuGL_2022.pdf,東京都庁
public,地域脱炭素ロードマップ～地方からはじまる、次の時代への移行戦略～,55,https://www.env.go.jp/earth/%E2%91%A0%E5%9C%B0%E5%9F%9F%E8%84%B1%E7%82%AD%E7%B4%A0%E3%83%AD%E3%83%BC%E3%83%89%E3%83%9E%E3%83%83%E3%83%97.pdf,①地域脱炭素ロードマップ.pdf,環境省
public,2023（令和５）年 国民生活基礎調査の概況,22,https://www.mhlw.go.jp/toukei/saikin/hw/k-tyosa/k-tyosa23/dl/10.pdf,10.pdf,厚生労働省
public,訪日外国人の消費動向（2024 年 1-3 月期 報告書）,48,https://www.mlit.go.jp/kankocho/content/001750938.pdf,001750938.pdf,国土交通省
